Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,145.25,-90.75,180,top
C2,1nF,C_0603_1608Metric,145.25,-102.5,180,top
C3,10nF,C_0603_1608Metric,148.75,-110,0,top
C4,1nF,C_0603_1608Metric,154.75,-91,180,top
C5,10nF,C_0603_1608Metric,158.25,-98.5,0,top
C6,1nF,C_0603_1608Metric,154.725,-102.5,180,top
C7,10nF,C_0603_1608Metric,158.25,-110,0,top
C8,100nF,C_0603_1608Metric,151.75,-93.5,270,top
C9,100nF,C_0603_1608Metric,151.75,-105.25,270,top
C10,100nF,C_0603_1608Metric,161.25,-93.75,270,top
C11,100nF,C_0603_1608Metric,161.25,-105.25,270,top
C12,100nF,C_0603_1608Metric,141,-108,90,top
C13,100nF,C_0603_1608Metric,141,-104.5,270,top
C15,1uF,C_0603_1608Metric,139.75,-100,90,top
D1,4148,D_SOD-323,133.75,-108,270,top
D2,4148,D_SOD-323,133.75,-104.5,90,top
R1,100K,R_0603_1608Metric,148.75,-90.75,180,top
R3,100K,R_0603_1608Metric,145.25,-98.25,0,top
R4,100K,R_0603_1608Metric,148.75,-98.25,0,top
R5,10K,R_0603_1608Metric,148.75,-102.5,180,top
R6,1K,R_0603_1608Metric,145.25,-110,0,top
R8,10K,R_0603_1608Metric,158.25,-91,180,top
R9,10K,R_0603_1608Metric,154.75,-98.5,0,top
R11,10K,R_0603_1608Metric,158.25,-102.5,180,top
R12,1K,R_0603_1608Metric,154.75,-110,0,top
R13,100K,R_0603_1608Metric,136.75,-100,90,top
R14,10K,R_0603_1608Metric,133.75,-100,90,top
U1,TLC555xD,SOIC-8_3.9x4.9mm_P1.27mm,147,-106.25,0,top
U2,TLC555xD,SOIC-8_3.9x4.9mm_P1.27mm,147,-94.5,0,top
U3,TLC555xD,SOIC-8_3.9x4.9mm_P1.27mm,156.5,-94.75,0,top
U4,TLC555xD,SOIC-8_3.9x4.9mm_P1.27mm,156.5,-106.25,0,top
U5,L78L05,SOT-89-3,137.5,-106.25,0,top
